key,translation
backpack_description,
barrel,Челек
barrel_description,Жашылчаларды туздоо жана ачытуу үчүн колдонулат
beetroot,Кызылча
beetroot_seeds,Кызылча уруктары
birch_seeds,Кайың уруктары
black_tea,Кара чай
cabbage,
cabbage_seeds,
cancel,Жокко чыгаруу
carrot,Сабиз
carrot_seeds,Сабиз уруктары
chest,Сандык
chest_description,Буюмдарды сактоо үчүн колдонулат
chick,Чөжө
chicken_egg,Тоок жумурткасы
common_bream,Лещ
concrete_path,Бетон жол
create_item,Предмет жасоо
dirt_path,
eggplant,Баклажан
eggplant_seeds,Баклажан уруктары
energy,Энергия
fishing_rod,Кайырмак
fridge,Муздаткыч
fried_chicken_egg,Куурулган тоок жумурткасы
garlic,Сарымсак
garlic_seeds,Сарымсак уруктары
gather,Чогултуу
goose,Каз
gosling,Каз балапаны
hay,Чөп
hay_path,
hen,Тоок
iron_axe,Темир балта
iron_pickaxe,
iron_scythe,Темир чалгы
iron_showel,Темир күрөк
iron_watering_can,Темир лейка
meat,Эт
not_enough_space_in_inventory,Инвентарьда бош орун жок
open_x,"""{0}"" ачуу"
pickled_tomatoes,Маринаддалган помидорлор
potato,Картөшкө
price,Баасы
prussian_carp,
quests,Тапшырмалар
round_rug,Тегерек килем
samovar,Самавыр
samovar_description,Күнүңүздү бир стакан ысык чай менен баштаңыз
sauerkraut,Туздалган капуста
sleep,Уктоо
small_backpack,Кичинекей рюкзак
sprinkler,Сепкич
spruce_seeds,Карагай уруктары
stone,Таш
stone_path,Таш жол
stove,Меш
strawberry,Кулпунай
strawberry_seeds,Кулпунай уруктары
talk,Сүйлөшүү
tea_leaf,Чай жалбырагы
tent,Чатыр
tent_description,Башталгыч фермер үчүн убактылуу баш калкалоочу жай!/nМына сен аткара аласың отдохнуть кийин долгого күндөн/nфермада жана баш калкалоо элементтерден.
tomato,Помидор
tomato_seeds,Помидор уруктары
uchpuchmak,Эчпочмак
weekday_0_short,жек
weekday_1_short,дүй
weekday_2_short,шей
weekday_3_short,шар
weekday_4_short,бей
weekday_5_short,жум
weekday_6_short,ише
well,Кудук
wheat_flour,Буудай уну
wood,Жыгач
wooden_path,
workbench,Верстак
workbench_description,Бул бардык керектүү нерселерди жасоодо сиздин негизги жардамчыңыз!
